tokenized_text,encoded_label
[ CLS ] 这家 饭店 改版 后 第一次 来 ： [ SEP ] 一 、 环境 比 之前 更 宽松 ， 更 开放 的 感觉 ， 点饭 也 更 开放 ， 增加 套餐 类 增值 强 用户 体验 服务 ； [ SEP ] 二 、 大间 中 隔 小 间隔 而 未 隔 ， 空间 凸显 更大 ， 感觉 舒适 ， 并且 配置 更 多 液晶 显示器 提供 电视节目 ； [ SEP ] 三 、 最 倒灶 的 洗手间 味道 比 之前 好多 了 ； [ SEP ] 四 、 整个 从 屋顶 设计 到 各个 角落 细节 营造 温暖 舒适 感觉 尝试 营,0
[ CLS ] 我 遇到 小偷 了 ， 新疆 人 ， 两个 [ SEP ] 一个 摸 我 左边 的 书包 ， 我往 左 看时 ， 另 一个 摸 我 右边 的 口袋 ！ [ SEP ] 真有 组织 ， 有 纪律 [ SEP ] 大家 要 小心 啊 ， 在 三里屯 的 天桥 上 [ SEP ] [ 委屈 ],4
[ CLS ] 轻轨 上 ， 《 苦瓜 》 单曲 循环 [ SEP ] 半生 瓜 [ SEP ] 想起 那年 在察卡 盐湖 的 日落 ， 听 了 多少 遍升哥 的 《 二十年 以前 》 [ SEP ] 这 无物 之阵 [ SEP ] 你 有 狼牙棒 ， 哥有 天灵盖 [ SEP ] 到 站 了 ， 开会 [ SEP ],0
[ CLS ] 正在 等 飞机 [ SEP ] 短信 通知 误 人 [ SEP ] 登机 囗 临时 变更 ， 从 T3 这边 的 F1 变到 另一边 的 F1 [ SEP ] 中午 吃 多 了 ， 被 国航 一 转场 ， 全 消食 了 [ SEP ] 介 要是 来得 晚可 咋办 啊 ！,1
[ CLS ] Tomouse ： 这里 的 雨洼 刚刚 干涸 ／ 户外 刮起 的 风带 着 海水 的 味道 ／ 我 只 知道 那个 和 这个 时候 的 我 很 是 想念 那 橙色 灯光 里 跳动 的 家肴 ／ 温暖 的 被褥 ／ 还有 临睡前 流淌 的 涓涓 细语 ／ 其实 沉默 的 环境 并 不 可怕 ／ 怕 的 是 沉默 的 心 [ 泪 ] [ 泪 ] [ 泪 ] [ 泪 ] [ 泪 ],5
[ CLS ] 新加坡 是 举世公认 的 成功 反腐 国家 ， 官员 们 前往 考察 [ SEP ] 接待 者 介绍 经验 ： ① 不让 有 不良嗜好 或 品德 修养 差 的 人 做 公务员 ； ② 法律 规定 公务员 上任 后 每年 必须 申报 个人财产 ； ③ 新 任职 公务员 会 被 人 暗中 调查 其 腐败 行为 ； ④ 严刑峻法 使人 不敢 贪 ； ⑤ 高薪养廉 [ SEP ] 官员 一致 认为 ， 第五条 值得 借鉴 ！,6
[ CLS ] 当时 则 是 直接 从 翻来覆去 睡不着 ， 到 在 一个 新 的 地方 的 床上 很困 但 睡不着 ， 翻来翻去 ， 一会儿 觉得 床单 粗砺 （ 是 红 黄相杂 的 老旧 西洋 花纹 ） ， 一会儿 觉得 房间 隔音 不好 ， 楼上 有人 咚咚 摔倒 [ SEP ] 我 还 看到 我 的 东西 都 从 旅行包 里 拿 出来 没 整理 ， 摊 了 房间 一地 ， 就 像 我家 和 我 住 过 的 旅馆 房间 情形 一样 ，,1
[ CLS ] Sexy   girl 在 等 人来 接 她 [ SEP ] 我 以为 会 出现 一辆 豪车 .. [ SEP ] 但 竟然 是 落 嘞 的 旧 款旭峰 电动车 [ SEP ] 怎么 了 ? [ SEP ] 好 白菜 都 给 猪 拱 了 ..,7
[ CLS ] 妈妈 最爱包 饺子 ， 她 觉得 包 饺子 是 最 简单 最 方便 的 [ SEP ] 姥姥 包 饺子 喜欢 多 放油 ， 妈妈 爱包 肉丸子 ， 三姨 的 特点 是 薄 皮大馅 多放菜 ， 二姨 手 最快 ， 四姨 不 擅 家务 ， 要 包 就是 纯 羊肉 馅 的 [ SEP ] 好像 没吃过 小姨 包 的 饺子 ， 她 跟 我 一样 是 个 纯粹 的 好吃懒做 [ SEP ],0
""" [ SEP ] 深深浅浅 的 脚印 ， 印实 一串串 苍然 的 寂寞 ， 世界 有 经线 和 纬线 ， 也 有 界河 阻挡 着 象 的 脚步 [ SEP ] 人生 就 像 一盘棋 ， 哭 是 一步棋 ， 笑 也 是 一步棋 ， 沉默不语 ， 泰然自若 ， 含而不露 面带微笑 ， 也 是 一步棋 [ SEP ] 不管 这盘 棋 的 结局 如何 ， 去 体验 一次 [ SEP ] 生活 应该 是 一种 充满热情 的 体验 ， 而 不是 漫长 苦 捱 的 日子 [ SEP ] 快乐 人生 , 善待 自己 . """,0
[ CLS ] 近日 ， 中央电视台 中文 国际 频道 就 第三届 世界 佛教论坛 暨佛 顶骨 舍利 赴 港澳 供奉 活动 专访 了 中国佛教协会 副会长 学诚 法师 [ SEP ],0
[ CLS ] 哥哥 你 什么 时候 能 下面 给 我 吃 呢   我 给 你 弄 过 十几 回 了   你 都 没有 ~ ~ ~ ~ ~ ~ ( _ ) ~ ~ ~ ~,5
[ CLS ] 老爸 昨天 炖肉 把 锅 弄 糊 了 ， 今天 刷锅 ， 好不容易 把 漆黑 的 锅 刷 的 看见 原来 的 颜色 后 ， 他 漏 了 ！ [ SEP ] 但是 老爸 又 说 了 ！ [ SEP ] 这锅 不 扔 ， 明天 再钜上 、 、 、   我 ： [ 泪 ]   [ 泪 ],7
[ CLS ] 下午 到 台里 ， 吴凤花 和 方亚芬 正在 换装 [ SEP ] 我 刚过去 打个招呼 ， 就 被 德才 老师 说 耽误 他们 录像 [ SEP ] 我 那个 冤 呢 [ SEP ] 我 说 我 没 采访 [ SEP ] 他 说 聊天 也 不行 ， 耽误 穿 服装 [ SEP ] 方 姐姐 说 腿 好 的话 就 来 段 对 花枪 了 [ SEP ],5
[ CLS ] 京 沈高速 （ 兴城 段 ） ， 进入 辽宁 境内 后 发现 大雾 严重 影响 视线 ， 能见度 不足 五十米 ， 大家 注意 控制 车速 吧 ， 祝 平安 [ SEP ] 另外 万家 段 北京 方向 塞车 严重 ， 不 知道 是否 因 大雾 天气 关闭 [ SEP ] 小心 慢行 ！,0
[ CLS ] 其二 ， 从 题为 《 国企 高管 与 一线 职工收入 差距 已达 18 倍 》 、 《 五粮液 涨价 唱双簧   高管 涨薪 10 余倍 独享 涨价 红利 》 、 《 中国 即将 提高 贫困 标准   可能 致 贫困人口 总数 上 亿 》 、 《 官员 称若 提高 个 税 起征点   中西部 个税 或 将 绝收 》 等 近期 的 报道 中 不难 得出 国企 普通职工 薪酬 并 不 高 的 结论 ；,0
[ CLS ] 好 难过   为什么 每天 都 回忆 你   为什么 每天 都 想起 你   为什么 每天 都 好 痴累   早 结束 了   怎么 还 在 爱,5
[ CLS ] 为什么 我 的 房间 那么 干 呢 ， 嗓子疼 啊 ~ ！ [ SEP ] 今早 起来 更 体现 出 了 我 昨天 排练 的 成果 ， 腰酸背痛 ！ ！ ！ [ SEP ] 不过 彭 老师 今早 出门 说 的 那句话 我 也 赞同 [ ELLIPSIS ],5
[ CLS ] 低温 天气 持续 笼罩 上海 ， 今晨 虹桥机场 实测 温度 接近 零下 5 度 ， 因 晚上 空调 关闭 ， 虹桥 火车站 中转 旅客 靠 跑步 取暖,0
[ CLS ] 说话 前想 清楚 自己 什么 身份 好 吗 [ ELLIPSIS ] [ SEP ] 别人 家 的 事 干 你 外人 什么 关系 [ ELLIPSIS ] [ SEP ] 您 还 想要 面子 就 别雷 我 了 [ ELLIPSIS ] [ SEP ] 长 再 大 我 也 依旧 讨厌 你 [ ELLIPSIS ] [ SEP ] 敢 喷 你 [ ELLIPSIS ],1
[ CLS ] 官员 们 背后 都 有 一个 《 红楼 》 ， 有钱人 的 子女 全部 《 西游 》 ， 地方 政府 正在 上演 《 三国 》 ， 老百姓 们 也 只能 酝酿 着 《 水浒 》 了,0
[ CLS ] 「 团队 的 力量 」 我愿 在 我 的 世界 里 ， 无论 何时何地 ， 你们 都 在 一起 ！ [ SEP ] i ＝ 爱 ＝ [ 红桃 ] [ 爱 你 ] 在 一起 ， 一起 迎着 风 ， 欢笑 ， 成长 ！ [ SEP ] [ good ] 当然 还有 荫姐 ， 一直 等 你 回来 ！,3
[ CLS ] 中国 这个 国家 真是 没 希望 了 ， 我 刚才 放到 博客 中国 上 的 那 篇文章 ， 没有 几个 看得懂 的 ， 全是 些 浅薄 无知 之徒 ， 这个 国家 算是 完 了 [ SEP ] 改革开放 这么些 年 ， 只 抓 经济 ， 不 搞 政治 进步 和 文化 建设 ， 最后 培养 出 一批 劣质 人口 ， 靠 这些 疯狂 式 的 人来 改造社会 ， 只能 更坏 ， 只能 是 更 大 的 灾难 [ SEP ],1
[ CLS ] 爹 ： 给 你 找个 媳妇 [ SEP ] 儿 ： 自己 找 ！ [ SEP ] 爹 ： 这 女孩 是 比尔盖茨 女儿 ！ [ SEP ] 儿 ： 这样 ？ 行 ！ [ SEP ] 爹 找 比尔盖茨 ： 我 给 你 女儿 找 了 一个 老公 [ SEP ] 比尔盖茨 ： NO ， 女儿 还 小 ！ [ SEP ] 爹 ： 这人 是 世界银行 副总裁 ！ [ SEP ] 比尔盖茨 ： 这样 ？ 行 ！ [ SEP ] 爹 找 世界银行 总裁 ： 给 你 推荐 个 副总裁 ！ [ SEP ] 总裁 ： 我 有 副总裁 ！ [ SEP ] 爹 ： 他 是 比尔盖茨 的 女婿 ！ [ SEP ] 总裁 ： 这样 呀 ， 行 ！,0
""" [ SEP ] 一男一女 去 吃 米线   男 ： 老板 ！ [ SEP ] 来 四大 碗 米线 ！ [ SEP ] 女 ： 叫 那么 多 干嘛 , 我 吃 一碗 就够 了 ！ [ SEP ] 男 的 拍了拍 脑袋 , 说 ： 哦 ， 还有 你 ， 老板 ！ [ SEP ] 来 五 大碗 ！ """,0
[ CLS ] 蔡康永 说 ： 如果 你 喜欢 了 一位 偶像 ， 请 你 一定 要 去 看 一场 他 的 表演 ， 亲自 去 ， 要 亲眼 看看 他 [ SEP ] 嗯 ， 我会 滴 ， 这个 七月 ， 不错 过 [ SEP ],0
[ CLS ] 这家 位于 槟城 George   Town ， Tunes   Hotel 斜对面 的 饼 家 ， 家庭 式作业 ， 她 的 咸蛋 酥 ， 年糕 椰蓉 酥 ， 叉烧 酥 都 很 不错 [ SEP ] [ good ],3
""" [ SEP ] 闻闻 有 粽子 味儿 , 琴 头上 得栓 只 黑驴 蹄子 [ ELLIPSIS ] [ SEP ] 美么 ? [ SEP ] 昨天 在 百来 公里 外 闭塞 的 乡下 录音 , 跟 一 帮子 巫师 为伍 . 饭菜 都 很 好吃 , 就是 晚上 8 点 过后 买不到 酒 了 [ ELLIPSIS ] """,2
[ CLS ] 利物浦 官方 宣布 ， 俱乐部 已经 同意 托雷斯 转会 切尔西 的 报价 ， 托雷斯 将 被 允许 和 切尔西 方面 商讨 个人 待遇 的 问题 — — 一个 时代 结束 了 ， 苏亚雷斯 + 卡罗尔 ， 一场 豪华 的 赌博 [ SEP ],0
[ CLS ] 少烟 多 茶 ， 少酒 多水 ， 少盐 多 醋 ， 少油 多奶 ; [ SEP ] 少肉 多菜 ， 少糖 多果 ， 少食 多 嚼 ， 少车 多步 ， 少停 多动 ， 少 言 多行 ， 少烦 多眠 ， 少怒 多 笑 健康 行为 口决 ： 少烟 多 茶 ， 少酒 多水 ， 少盐 多 醋 ， 少油 多奶 ; [ SEP ] 少肉 多菜 ， 少糖 多果 ， 少食 多 嚼 ， 少车 多步 ， 少停 多动 ， 少 言 多行 ， 少烦 多眠 ， 少怒 多 笑 [ SEP ],0
[ CLS ] 今天 ， 下楼梯 时 ， 手 从 扶手 上 滑过 ， 没想到 一 突起 的 木 刺扎 入 指甲 中 ， 好深 、 好痛 [ SEP ] 跑 到 医务室 ， 校医 没辙 ， 让 我 到 医院 [ SEP ] 到仁安 医院 后 ， 经 外科医生 用 镊子 捏 ， 在 经历 了 一阵 剧痛 之后 ， 终于 拔出 [ SEP ],0
[ CLS ] 一家 终获 团圆 ， 但 现场 一片 混乱 ， 媒体 记者 如 落巢 的 马蜂 般 一拥而上 ， 冲入 机场 安检 区 ， 完全 失去 秩序 [ SEP ] 吓坏 了 小 乐乐 [ SEP ] 也 让 彭 高峰 夫妇 顿生 反感 ， 躲避 媒体 采访 [ SEP ] 好事 变成 闹剧 [ SEP ] 今晚 ， 媒体 自扇 耳光 [ SEP ],0
[ CLS ] 鱼米之乡 ， 鱼 被 渴死 了 ， 米 被 干 死 了 [ SEP ] 千湖 之省 面临 50 万人 饮水难 的 尴尬 [ SEP ] 有库 无水 ， 有 水无泵 ， 有泵 无渠 ， 有渠 不通 [ SEP ] 这是 2012 来临 前 ， 老天爷 给 我们 上 的 又 一课 ！,0
[ CLS ] [ 吃惊 ]   @ 青春 爱哭 的 小猪 : 编 教材 的 要 不 把 孩子 送到 国外 去 了 ， 要 不 心理 有些 变态 [ SEP ] / / @ 青春 爱哭 的 小猪 : 我 从 应试教育 走来 ， 然后 现在 在 学习 新课改 的 理念 [ SEP ] 我 想 狠狠 的 抽 自己 一 耳光 ~ ~ ~,6
[ CLS ] 发怒 ， 是 用 别人 的 错误 惩罚 自己 ； [ SEP ] 烦恼 ， 是 用 自己 的 过失 折磨 自己 ； [ SEP ] 后悔 ， 是 用 无奈 的 往事 摧残 自己 ； [ SEP ] 忧虑 ， 是 用 虚拟 的 风险 惊吓 自己 ； [ SEP ] 孤独 ， 是 用 自制 的 牢房 禁锢 自己 ； [ SEP ] 自卑 ， 是 用 别人 的 长处 抵毁 自己 [ SEP ] 摒弃 这些 ， 你 就 会 轻松 许多 [ SEP ],0
[ CLS ] 某日 ， 我 早起 ， 给 他 留 了 100 元 钱 放在 桌子 上 ( 我 是 家里 的 财政 大臣 ) [ SEP ] 上班 后 ， 估摸 着 他 已 起床 ， 就 短 他 ： 老公 ， 桌上 是 给 你 昨夜 的 服务费 [ SEP ] 他 回 ： 全套 服务 才 100 块 呀 ? [ SEP ] 赶明儿 找个 富婆 去 [ SEP ],0
[ CLS ] OMG ， 是 我 不 关心 八卦 太久 了 吗 ？ ！ [ SEP ] 白天 还 在 跟 小黑 讨论 Jensen 过生日 ， 跟 大 J 一起 回 温哥华 机场 的 事 ， 我 忍不住 想 JQ 肯定 又 燃烧 起来 了 ！ ！ [ SEP ] 结果 刚刚 KANA 来 跟 我 说 八卦 ： J2 周末 一起 公然 出现 在 某个 GAY   BAR （ CLUB   560 ） ， 没想到 被 人 给 看见 了 ！ ！ ！ [ SEP ] 谁 能 告诉 我 这 是不是 真的 啊啊啊 啊啊啊 ， 我要 疯狂 了 ~ ~ ~ ~ ~ ~ ~ ~ ~,7
[ CLS ] 开光 法会 由 灵光 寺 方丈 常藏 法师 主持 [ SEP ] 中国佛教协会 会长 传印 长老 ， 国家 宗教 事务局 蒋坚永 副局长 ， 大 韩 佛教 天台宗 总务 院长 朱正山 长老 ， 日本 临济 宗妙 心寺 派 灵云院 住持 则 竹秀南 长老 ， 缅甸联邦 共和国 宗教 杜拉 吴敏貌 部长 先后 致词 [ SEP ] 全国 各省市 佛教协会 各大 寺院 以及 港澳台 佛教界 高僧 大德 也 纷纷 发来 贺电 表示祝贺 ！,0
[ CLS ] 要 送给 大家 的 20 本 毛边 书心 已经 签完 啦 [ SEP ] 我 随机 在 留言 里 找 20 位小盆友 ， 会 私信 问 你们 要 联系方式 发 快递 ， 请 保持 私信 设置 成 可以 联系 状态 哦 [ SEP ],0
[ CLS ] 回复 @ 方子 春 : 方 老师 您好 ， 下周一 ， 就是 30 号 ， 可以 的 [ SEP ] / / @ 方子 春 : 回复 @ 北京 蚂蚱 轩 文化 - 李轩 纹身 刺青 : 我们 现在 约 了 不 就行了 [ SEP ] 下星期 你们 定个 时间 不 就行了 ？ [ SEP ] 星期一 行 吗,0
[ CLS ] 一直 以来 自持 清高 甚至 刁钻刻薄 的 诗人 朋友 极力 向 我 推荐 电视剧 《 男人帮 》 ， 为此 看 了 几集 ： 除了 一贯 的 赵宝刚 式 贫嘴 ， 整个 一群 神经质 加 傻帽 ， 情节 高度 离谱 ， 表演 高度 夸张 ， 毫无 动容 之 处 [ SEP ] 看不下去 了 [ SEP ] 责问 那位 朋友 ， 他 说 他 也 觉得 不 好看 了 [ SEP ],1
[ CLS ] [ 问月 ] 把 我 的 疑问 重 发 一下 ， 中国 的 节日 多多少少 都 在 强调 一件 事 ， 我 等 祖上 都 是 地里 刨食 的 [ SEP ] 那些 重要 的 日子 和 未来 陶土 碗 里 能 装点 啥 关 糸 密切 [ SEP ] 但 并 不 文艺 的 周朝 姬氏 为啥 选择 在 八月 拜 月 呢 ? [ SEP ] 诉求 是 什么 呢 ?,1
[ CLS ] ESPRIT 曾经 是 白领 们 的 最 爱 ， 但 如今 却 每况愈下 [ SEP ] 拥有 ESPRIT 品牌 的 思捷 环球 销售额 和 利润 都 在 继续 下滑 [ SEP ] ESPRIT 原来 的 拥 趸 ， 显然 被 快速 时尚品牌 抢走了 [ SEP ] 比如 拥有 Zara 的 Inditex 集团 ， 去年 前 9 个 月 利润 增长 高达 42% [ SEP ] 为了 重新 赢得 顾客 ， 思捷 刚换 了 集团 主席 [ SEP ] 你 愿意 重回 ESPRIT 店内 ， 观察 它 是否 真的 发生 改变 吗 ？,0
[ CLS ] 张小娴 说 ： 思念 一个 人 ， 不必 天天见 ，   不必 互相 拥有 或 相互 毁灭 ，   不是 朝思暮想 ， 而是 一天 总 想起 他 几次 [ SEP ] 听 不到 他 的 声音 时 ， 会 担心 他 [ SEP ] 一个 人 在 外地 时 ， 会 想念 和 他 一起 的 时光 [ SEP ],0
[ CLS ] 自己 把 自己 说服 了 ， 是 一种 理智 的 胜利 ； [ SEP ] 自己 被 自己 感动 了 ， 是 一种 心灵 的 升华 ； [ SEP ] 自己 把 自己 征服 了 ， 是 一种 人生 的 成功 [ SEP ],0
[ CLS ] 恨 一个 人 跟 爱 一个 人 一样 ， 宁可 屏蔽 关于 她 的 一切 消息 ， 也 不想 看到 她 身边 站 着 另 一个 人 ， 而 忘记 最好 的 方法 是 不断 地 努力 ， 找 更好 的 人 ， 让 她 后悔莫及 ！,0
[ CLS ] ” 在 爱情 的 游戏 中 ， 逐点 追逐 ， 模糊 的 幻影 ， 然后 头破血流 ， 再 寻找 新欢 ， 以为 可以 隐藏 一切 全身而退 ， 但 已 物是人非 [ SEP ] ” 小米 侧头 ， 迷惘 的 眼神 ， 珍惜 现在 不好 吗 ？,0
[ CLS ] 你 必须 以诚待人 ， 别人 才 会 以诚 相报 — — 李嘉诚   创业 不像 读书 ， 一天 可以 过 好多年 ， 创业 必须 一步一个脚印 走 [ SEP ] — — 周晋峰   求 珍品 ， 品味 虽贵必 不敢 减 物力 ； 讲堂 誉 ， 炮制 虽 繁必 不敢 省 人工 [ SEP ] — — & amp ; quot ; 同仁堂 & amp ; quot ; 里 看 诚信   修合 无人 见 ， 存心 YL,0
[ CLS ] 小时候 ， 爸爸妈妈 都 上班 ， 我 放学 回家 ， 妈妈 用 高压锅 煮饭 ， 让 我 看着 然后 继续 上班 去 [ SEP ] 我 贪玩 就 跑出去 和 小伙伴 们 玩 [ SEP ] 每次 都 是 玩 着 玩 着 突然 想起 高压锅 ， 于是 百米 冲刺 回家 ， 这个 时候 有 两种 结果 ， 1 . 刚好 来得及 ， 把关 了 ， 再 以 百米 冲刺 速度 回去 和 伙伴 们 玩 [ SEP ] 2 . 他 妈妈 已经 把 火关 了 ， 然后 他 妈妈 追着 他 满村 跑 [ SEP ],0
[ CLS ] 其实 一个 钱币 最 美丽 的 状态 ， 不是 静止 ， 而是 当 它 像 陀螺 一样 转动 的 时候 ， 没 人 知道 ， 即将 转 出来 的 那 一面 ， 是 快乐 或 痛苦 ， 是 爱 还是 恨 [ SEP ] 快乐 和 痛苦 ， 爱 和 恨 ， 总是 不停 纠缠 [ SEP ],0
[ CLS ] 收视 提示 ： 2011 年 5 月 23 日 （ 周一 ） [ SEP ] CCTV - 6   19 ： 35 分   《 流金岁月 》 专栏 将 播出 淳哥 主演 电影 《 锅碗瓢盆 交响曲 》 ， 淳迷们 记得 锁定 电影频道 留意 收看 哦 ！ ～ [ SEP ] （ 看 完 电影 还有 精彩节目 可 千万 不要 走开 哦 ， [ 偷笑 ]   想要 知道 请接 看 下条 微博 [ SEP ] ） [ SEP ] 淳迷们 快快 来 [ 围观 ]   ！ ～ [ 耶 ],2
[ CLS ] 我 嗨 了 · · · · 一不小心 花 了 2 快 钱 定制 了 个 您好 ， 您 拨打 的 用户 已 关机 的 彩铃 ！ ！ ！ [ SEP ] 我 无奈 了 ！ ！ ！ [ SEP ] 谁给我 打电话 听到 这个 彩铃 的话 就 证明 ！ [ SEP ] 你 是 0 点到 6 点 之间 给 我 打 的 ！ ！ ！ [ SEP ] 为啥 这么晚 ， 或者说 这么 早就 给 我 打电话 ！,5
[ CLS ] 几米 的 漫画 里 ， 总有 很多 兔子 ， 象 一个 暗喻 [ SEP ] 今天 ， 在 拆建 的 路旁 我 看见 这 只 惶惑 的 兔子 ， 是否是 在 城市 里 惶惑 而 不 安定 的 心灵 写照 呢 ？,0
[ CLS ] 我 想起 了 那个 打劫 的 故事 ， 第一个 交钱 的 给 100 ， 第二个 200 … … [ SEP ] 以此类推 ， 因此 ， 大伙儿 排好队 交钱 ， 劫匪 只要 收钱 和 维持 次序 就 可以 了,0
""" [ SEP ] 最新 流言 : 据 Euro   Entertainment 的 总裁 透露 TH4 月 将 不会 在 俄罗斯 举办 演唱会 , 不过 今年 秋天 Tokio   Hotel 计划 有 一场 不 插 电 巡演 [ ELLIPSIS ] """,0
[ CLS ] 我 买 了 件 镂空 露背装 [ 吐 ] [ 吐 ] [ SEP ] / / @ 何 小熊 Shawm : 以后 陪你去 [ SEP ] / / @ 海海 海海 海城 : 你们 都 不 等 我,0
""" [ SEP ] 三峡大坝 下三省 大旱   500 万人 饮水困难 , 目前 ， 全国 耕地 受旱 面积 为 9892 万亩 ， 有 497 万人 、 342 万头 大牲畜 因旱 饮水困难 [ SEP ] """,0
[ CLS ] 做人 原则 ： ⑴ 能 不 骂人 ， 就 不 骂 ！ [ SEP ] 一旦 骂 ， 就 往 死 里 骂 ； [ SEP ] ⑵ 骗 我 可以 ， 但 不要 被 我 知道 ； [ SEP ] ⑶ 我 可以 容忍 ， 但别 超过 我 的 底线 ； [ SEP ] ⑷ 我 可以 装傻 ， 但 别以为 我 真傻 ； [ SEP ] ⑸ 不 做 第三者 ， 即使 再 喜欢 ； [ SEP ] ⑹ 不 喜欢 就是 不 喜欢 ， 说 啥 也 没用 ； [ SEP ] ⑺ 任何 的 真话 ， 我 都 能 接受 ； [ SEP ] ⑻ 对于 装 X 者 ， 不留 脸面 [ SEP ],0
[ CLS ] 埃及 语录 ： 1 、 我们 不怕 流血 和 牺牲 ， 只 害怕 失败 ； [ SEP ] 2 、 我们 的 任务 完成 了 ， 该 让 学者 和 专家 们 登场 了 ； [ SEP ] 3 、 我们 能 推倒 独裁 ， 你 要 知道 是 谁 建造 了 金字塔 ； [ SEP ] 4 、 今天 我们 将 领导 民主运动 ， 因为 昨夜 男人 们 一直 在 保护 我们 ， 他们 累 了 ， 需要 休息 ； [ SEP ] 5 、 士兵 们 ， 枪口 要 对准 罪犯 和 窃国 者 ， 我们 是 你们 的 父母 、 兄弟 和 姐妹 [ SEP ],0
[ CLS ] 上午 药家鑫 终审 宣判 死刑 后 ， 据说 法院 外有 放鞭炮 的 ， 晚上 富士康 就 爆炸 了 ， 这个 故事 告诉 我们 ， 市区 内 应该 禁止 燃放烟花 爆竹 ， 崩 那么 老远 [ SEP ],0
[ CLS ] 明天 上班 了 ， 心情 很 忐忑 [ SEP ] 过年 很 家庭 ， 幸福 有 晒过 [ SEP ] 今天 在线 时间 ， 业内 朋友 联系 ， 大约 都 在 说 ： 今年 日子 要 难过 了 [ SEP ] 专注 知识 管理 的 章林 表示 ： 花无百日红 ， 人 无 再 少年 [ SEP ] 市场 变幻 ， 职场 来来往往 ， 心安 与 长远 的 你 我 ， 不如 慢步 ， 给力 鼓舞 ， 道 与术 ， 专注 ， 爱护 ， 互动 ， 分享 进步 ！ [ SEP ] 管它 调控 无数 [ SEP ] 迈步 ， 同路 [ SEP ],0
