标签,文本
happiness,。刚刚下过雨，此时外面是风轻 柳绿 花红 草青，呼吸着带着泥土芳香的清新空气，小区里放眼望去满眼都是养眼的色彩，春天真好，生机勃勃！！。配合一下外面的好景致，换衣一个新床品，心情好啊!!
disgust,。TD的专利里面中兴占了最大头，可是这几年中兴就没给TD造出什么像样的手机终端来，他们作的最火的V880竟然是Wcdma的，你说搞笑不？。讽刺不？。其实也不能怪商家，谁叫TD就是个政治任务呢？。而商家要的却是利益最大化。。V880采用WCDMA不但可以在国内卖也可以卖到国外作OEM何乐而不为呢?
surprise,。利比亚介叛军啥状况啊，比咱抗日时的游击队都不如，还有不管啥武器稍微大点的都用的是中兴皮卡拉，我倒。。。。另 怎么看不到有关利比亚正规军的报道啊
disgust,。隔壁有个女生。。。。这个点还和男朋友在电话吵架。。。扯着嗓门喊。。。。大概有半小时多吧。。她男人怎么就不掐了电话呢。。。[思考]
sadness,。在图书馆书架间逡巡，看到了一本本熟悉的书，回忆起初中高中六年里每天中午做图书馆管理员时一本本看过的书，有多少时间没有认真静下来看一本书，好怀念当初那种一头扎进书海的感觉…。嗯，开始把那段情怀找回来…。这辈子最美好的记忆其实在图书馆…
anger,。只许州官放火不许百姓点灯——中石化、中石油一再涨价，而联合利华只提涨价却遭200万罚款，康师傅遭受警告！
like,。圆点长款套头针织衫，可爱的波点超级有爱的感觉，迷人的长款随身的感觉，超级百搭的感觉。。休闲舒适又不失可爱俏皮的一身，很赞哦！
sadness,。累死我了，再不陪人家逛街了，结果我买了件薄风衣、打底吊带衫、床上四件套~~~主要想买东西的人只买了一件小衫一件打底衫~~
like,。她们没有妳明白我，包容我，还有你的岁月痕迹最性感，皱纹里是我俩的泪水（好喜欢这句，贯中，你写诗很有才华）
disgust,。非常讨厌那种拍了自拍或是试妆照说自己渣的要死还艾特了一堆人然后还轮那张照片版聊死命反驳说自己不萌其实心里暗喜的妹子。。其实每次看到这种微博不管那妹子有多萌只有想吐的赶脚！。我不是一个人对吧！QAQ
like,。12月28号华星光电厂房封顶，比原计划提前一个月。。从3月15号打桩到现在封顶，项目工程建设克服了很多困难，能取得今天这一成绩真的很不容易。。感谢各方的支持！。感谢团队的努力！
disgust,。这个模具厂在过往二十年生产了大量的一模一样的产品。。更厉害的是将一些上百年历史的学校也变成一模一样。。先不说是否劣质，就只长得一模一样这一条，就知道中国孩子有多悲催，为什么要争先恐后往外跑。
disgust,。这年头办什么都需要证，昨天跟猪去招行，本想办张信用卡副卡，招行工作人员却让我们出示结婚证，我们两人顿时傻掉，看来要为了办卡去领证了。。以后又有了个理由领证：那就是办卡！。招行大大提升了中国的结婚率哇！
disgust,。换季，收拾衣服、分类，沉寂已久的夏装开始占据主卧衣柜，各种秋冬衣物进入杂物间?????。琐碎而且繁重的工作。。崩溃了。
disgust,。回复@木有话説:微薄文字有限，无法一一详述，拍照片不是为了什么，没有那么势利的心，只是希望大家谴责下，请带些感情而不是默然去看这些，另外我微波里好多别的照片，你有看么？。//@木有话説:所以，这张图是挺恐怖的，吸引了读者眼球，拽住了读者的心。。类似作案现场物证、事实很齐全，但不经推敲。
sadness,。去唐山参加我最好的哥们，和我同龄的李忠海儿子的婚礼，感触太多了！。人家娶儿媳妇，要当爷爷了，我儿子才四岁。。做人的差距咋就那么大呢？。我要当爷爷，估计要到70岁了！。想当公爹，至少也要66岁以后。。所以老妈常说：上大学真没用，耽误了一辈人呢！
like,。朋友生日，有请到父母。。闲着无聊故意逗爹地说他不准去，后来妈咪说朋友请客那里可以去钓鱼什么的，爹地不满了，说他不去了，妈咪问为什么，他说女儿不让我去，呜…。2天都还在耿耿于怀这个事…。昨晚跟他撒娇，他终于说好吧好吧…。噗，我爹地是越老越萌！
disgust,。今天可真是个闹剧，一百多人的走秀，四百多人面试，估计还有更多人没去。。你们可真有钱，是准备把鸟巢包下来办一个全场巡演的走秀吗?。牛逼大了。
surprise,"。这是更衣室,突然进来一队警察,带着几条警犬,还有好几具爆炸物探测器,把每个角落都嗅探一遍,这安保标准绝对超2008了!"
happiness,。[good] 你的一天就在游戏里度过吧，，呵呵。//@huang梓琴：。//@星座爱情001：一天时间就那么多 不珍惜就浪费了[微风] @环球街拍
sadness,。当初我天真地以为，只要全身心地投入，就可以打动你，可最后我发现，打动的只是我自己；后来我执着地以为，只要不顾一切地往前走，路就会一直延伸，可结果我知道，是我的心路走到了尽头。。如今我明白，失去一个人，只是生命中一段过程，我们总会在最深的绝望里，看见最美的风景。
sadness,。爱，以惜为贵！。看着血淋淋的伤口随着寒风裂开。。不顾疼痛的伤害一颗真爱的心，不要再以爱的名义泛滥卑微多余的情感。。放弃，也许是我唯一能给自己的解脱，埋葬自己所有的好。
sadness,。我知道所有人的结局，却唯独不知道自己的结局，以前一直是旁观者的角度 看着个人走向他们的结局，如今自己也被拖进了这幕戏中，将来我该何去何从。
like,。维族歌舞音乐真好亞克西 //@杨锦麟:喀什最富丽堂皇的维族餐厅，也有这样的舞蹈，这样的乐队，这样欢快的氛围。
like,。韩庚同学！！！。你这么诱惑人是不对的！！！。知不知道这世道狼女多啊！！！。领子别开得这么低！！！。表情别这么的无辜！！！。韩少爷！！！
like,。别人眼中很乖从来不追星的孩子为你们逗留了七年：笑过哭过，疯狂追过车，熬夜守机场；。学了日语，韩语只懂皮毛；最喜欢日鳗鱼饭和韩辣炒年糕；。了解耽美，兼修图频；韩娱华娱圈明星不知道几个；。考试面试前一天还熬夜刷消息；骄傲的说我是东方神起的仙后；。那时我以为会是永远。。恣意七载青春，感谢有你相伴
like,。赞同于老师的态度。。在条件、能力受限制的情况下，不宜轻下结论。//@于建嵘:回复@周静文V:我的态度是：在不能接触关键证据和证人的情况下，我等非刑侦专业人士，要对钱云会之死是被谋杀还是交通事故作出判断是不现实的。。但就我关注的本案背后的土地问题而言，已掌握了一定的资料，将就此问题请专家研讨。
surprise,。忽然发现把球打好的方法，就是睡眠时间不能超过五小时，早餐不能吃的太饱，最好不吃，把自己搞得非常疲惫，这样才能做到不发力，准确性大大提高啊。
disgust,。中国教育三大误导：。第一驱动教育产业化，大学转型企业，教授升格老板，学生要为老板买单；。第二鼓惑大学生创业，与教育宗旨背道而驰，当老板成功率1% 都不到；。第三渲染大学拜金，刚发布的2011中国造富大学排行榜，北大、清华、浙大名列前三。。为神马不排名学术科技？。拜金是中国教育死结，务必尽快解开！
happiness,。最近在走花炮路线[酷]小清新已经满足不了重口味了。。啊哈哈哈哈哈！。没想到这么快就收到了啊，我以为要十一月了。[爱你][爱你][爱你][爱你][爱你]
sadness,。为什么日本地震这么多人关注，云南盈江地震反而很弱化，因为媒体都在报道日本的惨状，盈江的报道仅仅看到批示，和一个人补偿一万。
disgust,。恨嫁就是封建，同工同酬就是男女平等，我都太不同意了。。中国女性，什么时候敢在丈夫当选总统后立马离婚，自己不觊觎妻凭夫贵，社会舆论也不要求顾大局；。什么时候位居部长当了未婚妈，不受道德评判，公众只是饶有趣味地竞猜谁是孩儿他爸；。什么时候，中国女性才能在婚姻面前不轻易低头。。什么时候...
sadness,。邱添一赛季报销了，小臂骨折，在医院暂时夹板固定，回上海手术，矫正时候痛不欲生呀，弯掉的小臂要板直，多灾多难得申花。。看着邱添一痛苦的样子，我也心痛呀，年轻人好不容易打上主力。
sadness,。曾经有一个别墅摆放在我面前 我没有好好争取珍惜 当我失去的时候我才后悔莫及。人世间最痛苦的事莫过于此 如果上天能够给我再来一次机会 我会对着那个别墅说我爱你。如果让我在这氛围上加如果让我在这氛围上加个时间个期限 我希望是一万年。我希望是永远。//@CCTV证券-严楷晨:陈老师早在心里有大
happiness,。一月九号烽火长城肖云飞终于谢幕杀青！。杀青前最后这十天，天天重场戏，打戏！。终于扛过来了。。第二天也就是今天哈哈我发烧了！。放下了这个角色终于我可以生病了。。今天当我打开这两个月的相册，回味每一场戏。。感慨万千！。眼泪夺眶而出，大哭一场。。我舍不得告别肖云飞。。感谢导演赵文忻，杨新宇导演！
like,"。一熊猫因打群架造成腿骨折，为方便治疗所以将伤处绒毛全部剃光,粉红色的屁屁，没毛的尾巴，哈哈,流氓!!!"
anger,。//@love天然521:嗯嗯，枪毙一百次也不过分。//@叫我猪猪子:人贩子必须枪毙！。必须的枪毙！。操[怒][怒][怒]
like,"。最近这段时间,非常忙,相当忙,总觉得许多事没有落实到位,总是给自己太高的期望值,不过我相信,我的同事们,一定非常棒,一定会超水平发挥,一定让我们的十年台庆盛典圆满成功.。祝福我们吧!"
disgust,。2012快点来吧 到那时就再也不用坐在电脑前没日没夜的干活了 在海啸来袭之前 烤上二十个腰子 面对滔天巨浪 干掉最后一瓶啤酒 狂哮一声 我cao你妈 也算给我凡俗的人生画一个铿锵的句号
like,。转：毛少将是所有红后代里面最好的……。你看他既没有把持中国的电力，也没有在金融房地产呼风唤雨，更没有操控石油，也就是穿了身特大号军服而已；而且唱歌的都能当少将，主席的孙子怎么就不能当了？。他还能没事给你们逗逗乐子。。多好啊！。新宇是个好青年！
sadness,。原来这个星期休假与不休假是一样的，也是最早6点才能走[泪][泪][泪]现在就希望6点后还来得及坐车[可怜][可怜][可怜]
happiness,。这位就是从小照顾我长大的，一直守护在我身边的，那位慈祥的母亲。。在日本的8年还是让您操心了。。但是现在开始不会了。。儿子已经长大，已经懂事，已经有自己的想法，已经会做决定。。虽然在您的眼里我永远都是个孩子。
anger,。读卡器坏掉了，啊，这是要逼疯我，嘎好了。。下东西也下不成为令人，我的天哪，气人莫？[抓狂] [泪] [黑线]
like,。每当我吃南宁老友粉的时候，总会有一个疑问：这些酸笋卫生安全吗？。它们是怎么做的，是不是用工业化学品制酸的，煮之前有没有洗过？。现在，最让我放心的酸笋就是自家在桂林用清清的泉水泡的酸笋，既好吃，又安全，在南宁是绝对泡不出这种味道的酸笋的。
disgust,。中移动在香港的价格：68元港币套餐，包括本地无限任用GPRS及WiFi，送1600分钟本地通话时间，直连google、Fackbook、YouTube、推特！！！。我内牛满面了，一锅两制你还能理解么。。
like,。别人笑我太疯癫，我笑他人看不穿。。。李晟敏呐，你知道我们在就好，有人TM的贝戈戈我也管不着，就这样吧。[gif]
happiness,。带福主做法事。。消灾改运疏文，开财门疏文。。阴阳财库符10道，玉皇开财门符6道，玄坛赵公明元帅招财符5道。。。[嘻嘻] 看者发财！！！。有木有！。。。。。。
sadness,。当绿茵场上驰骋的叔叔们变成哥哥，又变成同龄人。。然后我变成了他们的哥哥，最终成为他们的叔叔的时候， 我感受到了岁月 ！！！
happiness,"。果子去了,期待视频!。----现场的同学们,保护残疾人啊~。//@如果CC:[嘻嘻] 我马上就到 吼吼~~~"
sadness,。时隔大半年，再去干啥，猛然觉得自己老了。。。。唉。。。。[衰][衰][衰]还听错了问题。。。。杯具。。。[泪][泪][泪]
happiness,。去年在很困难的情况下完成了三大任务，不仅供完了房子，拿到了驾照，而且还找到了我一直要等的人。。在我遇到媳妇儿前，我那点自以为是的执着真的是傻得有盐有味的，浪费了一大把时间不说还过得很灰暗，如今一切上了正轨，我们正一起朝着2011年三大任务前进。。2月14要到了，媳妇儿，你说你想要什么？[花]
happiness,。昨天还在想为啥这次我这么淡定呢。。现在心脏就咚咚咚跳得快到不行。。想到回来还要假装没见过周笔畅没看过演唱会没去过魔都就对自己没信心。。快点要十二点吧，一刻都等不了了！
disgust,。迪士尼入侵上海，喜羊羊死哪去了？！。你这个没用的东西，还不快去纽约也围个羊圈，不然送你去灰太狼那里，做成羊肉串、羊毛衫、羊羔体……哼
surprise,。看日本地震的新闻，给我的最大震撼就是，办公室里的所有人，在房子剧烈晃动的情况下，没有一个人跑出去，而是扶着并保护办公室里的东西，防止倒下来，然后还有人拿着摄像机手机拍摄地震画面。。。。他们不逃跑的前提是，足够相信他们的房子不会倒塌。[good]
fear,。4、镜子摆放不正确易招小人 镜子在我们的生活中是常用的物品，如果在摆放中位置摆放的不对，那就会对主人不利的。。一是在办公室中不要在对面摆放镜子，镜子对着人不好。。在居家风水中镜子敢不要正对着床位，首先对夫妻双方不利，更重要的是导致招小人，因此一定要引起注意。
sadness,。半个小时的家常菜，一个人吃，蚝油生菜，肉末茄子，肉末豆腐，小葱炒蛋，成本蔬菜4，肉糜8.5，鸡蛋1，这顿饭总共14块，现在物价成本高，如果两个吃这饭也够了……。不过没人搭伙[泪]
like,。如果可以，我真想和你一直旅行。。日本、新加坡、南非，或许是某个古朴的小镇，或许是某座灿烂辉煌的大都市。。我们可以沿途用镜头记录彼此的笑脸，和属于我们的风景。。一起吃早餐，午餐，晚餐。。或许吃得不好，可是却依旧为对方擦去嘴角的油渍。。风景如何，其实并不重要。。重要的是，你在我的身边！[心]
happiness,。今日头条英国流行巨星罗比威廉姆斯Robbie Williams和未婚妻艾达菲尔德Ayda Field已于美国当地时间8月7日在加利福尼亚的Santa Catalina小岛上举行婚礼！！！！。恭喜Robbie！！！！
disgust,。起床餵了食，伊還是吠不止。。只穿睡衣陪伊站了半小時，伊又不拉屎。。伊到底是想把哥弄感冒了還是想把哥弄失眠呢？
anger,。什么狗屁一样的早晨！！！。我决定下午的课tmd全不上了！！！！。我要回家！！！！！！！！！！[怒][怒][怒][汽车][汽车][汽车][飞机][飞机][飞机][弱][弱][弱][自行车][自行车][自行车]
disgust,"。广州的友谊商店,据说高档。。然每次进去我浑身不自在,那超市,面积不大,可懒洋洋的服务员有二、三十个。。什么情况?。是强塞进去的冗员,还是把顾客当贼防,需要人盯人防守?。~~~东西贵,是养人成本高吧?"
happiness,。小周末的早上，最高16度。。爱轰（IPHONE）的天气显示，未来周末两天的最高温度达到了21度左右。。还等什么，赶快计划下周末的活动吧。。穿上自己喜欢的衣服，带上家人和朋友，周末我们去踏青。。呵呵 早安 各位！。春天已经来了
disgust,。有一年偶和新安晚报一位记者一道采访他，他手下一工作人员白了偶们手里滴采访介绍信不屑地说：拿这个也能采访？。一脸滴敖慢。
anger,。回复@空了了了:溜微薄的大爷别闪着牙，做板爷不是你没本事，而是你为小不尊。。//@空了了了:回复@陈宝存:呵呵，你好久看见大爷遛鸟啦，大爷在溜微薄，呵呵。//@空了了了:不守法的公民”这话不恰当
